BARRIO,SITIO
QUINTA CAMACHO E-2,ESTACION TRANSMILENIO CALLE 72
SAN LUIS E-13,VIAS PUBLICAS
LA CASTELLANA E-12,ESTACION TRANSMILENIO SUBA-CLL 100
LA AZUCENA A E-7,VIAS PUBLICAS
EL RESTREPO E-15,VIAS PUBLICAS
EL PINAR E-11,GIMNASIO
ALAMOS SUR E-10,VIAS PUBLICAS
PERDOMO ALTO E-19,VIAS PUBLICAS
TURINGA SUBA E-11,ESTACION TRANSMILENIO PORTAL DE SUBA
ALCAZARES E-12,VIAS PUBLICAS
LAGO DE CHAPINERO E-2,CAFETERIAS
OLARTE E-7,ESTACION TRANSMILENIO PERDOMO
CENTRO,FRENTE A ALMACEN - VIA PUBLICA
LA ESPERANZA,CASAS DE HABITACION
LA ESPERANZA,CASAS DE HABITACION
LIBERTADOR,VIAS PUBLICAS
DIVINO NINHO,VIAS PUBLICAS
QUINTAS DE SAN LUIS,CASAS DE HABITACION
PANDO,VIAS PUBLICAS
PESCAITO,VIAS PUBLICAS
VEREDA GUADUALITO,FINCAS Y SIMILARES
LA ESPERANZA IV ETAPA,LOCAL COMERCIAL
7 DE AGOSTO,HELADERIA
CENTRO,VIAS PUBLICAS
LAS LUNAS,FRENTE A RESIDENCIAS - VIA PUBLICA
CORAZON DE JESUS,FRENTE A RESIDENCIAS - VIA PUBLICA
FATIMA,VIAS PUBLICAS
MIRAFLORES I,VIAS PUBLICAS
PARQUE INFANTIL,VIAS PUBLICAS
SAN VICENTE,VIAS PUBLICAS
NUEVA ARANDA,VIAS PUBLICAS
ESMERALDA,VIAS PUBLICAS
BARRIO CENTRO,LOCAL COMERCIAL
VILLA DEL CARMEN,FRENTE A RESIDENCIAS - VIA PUBLICA
SECTOR CENTRO COMERCIAL UNICENTRO,VIAS PUBLICAS
EL BERLIN,VIAS PUBLICAS
NUEVA CECILIA,VIAS PUBLICAS
NUEVA CECILIA,VIAS PUBLICAS
ZONA CENTRO,VIAS PUBLICAS
ZONA CENTRO,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
RESTREPO,VIAS PUBLICAS
CIRCUNVALAR,VIAS PUBLICAS
LAS PALMAS RIO OTUN,CASAS DE HABITACION
CENTRO (A) PEREIRA,VIAS PUBLICAS
SECTOR EL MUELLE,VIAS PUBLICAS
MODELO,BUS METROLINEA
CENTRO,LOCAL COMERCIAL
URB. COLSEGUROS NORTE,TIENDA
URB. COLSEGUROS NORTE,TIENDA
MUTIS,VIAS PUBLICAS
LA CONCORDIA,VIAS PUBLICAS
ALFONSO LOPEZ,VIAS PUBLICAS
LA CONCORDIA,LOCAL COMERCIAL
BRISAS DEL RIO,CASAS DE HABITACION
RINCON DE LA PAZ,VIAS PUBLICAS
OSPINA PEREZ,VIAS PUBLICAS
20 DE JULIO,VIAS PUBLICAS
CENTRO,RESTAURANTES
SAN SIMON PARTE BAJA,VIAS PUBLICAS
EL CRISTAL,VIAS PUBLICAS
GUAYAQUIL E9,VIAS PUBLICAS
ALFONSO B. ARAGON E14,VIAS PUBLICAS
ANTONIO NARINHO E16,CASAS DE HABITACION
LA MERCED E3,VIAS PUBLICAS
CENTENARIO E2,VIAS PUBLICAS
CIUDADELA FLORALIA E6,VIAS PUBLICAS
DEPARTAMENTAL E10,VIAS PUBLICAS
EL RETIRO E15,SEMAFORO
LOS LAGOS E13,DENTRO DE LA VIVIENDA
LILI E17,VIAS PUBLICAS
AGUACATAL E1,VIAS PUBLICAS
LLERAS RESTREPO E13,VIAS PUBLICAS
SANTA ANITA E17,VIAS PUBLICAS
EL GRAN LIMONAR E17,LOCAL COMERCIAL
GUAYAQUIL E9,VIAS PUBLICAS
PASO DEL COMERCIO E6,VIAS PUBLICAS
SAN LUIS E6,VIAS PUBLICAS
CENTENARIO E2,VIAS PUBLICAS
JOSE M. MARROQUIN II E14,VIAS PUBLICAS
LOS LIBERTADORES E3,VIAS PUBLICAS
EL LIMONAR E17,VIAS PUBLICAS
SAN PEDRO E3,ESTACION TRANSMETRO
VIA CARTAGO - ALCALA,VIAS PUBLICAS
CENTRO,DENTRO DE LA VIVIENDA
BELALCAZAR E25,VIAS PUBLICAS
CARLOS PIZARRO E25,VIAS PUBLICAS
EL CAIRO,SOBRE ANDEN - VIA PUBLICA
VILLAGRANDE,VIAS PUBLICAS
SANTA MARIA # 2,VIAS PUBLICAS
LA AMERICA C-12,VIAS PUBLICAS
LA CANDELARIA C-10,PARQUES
SAN BERNARDO C-16,CASAS DE HABITACION
ESTADIO C-11,VIAS PUBLICAS
BARRIO COLOMBIA C-14,ESTACION DEL METRO
CASTILLA C-5,VIAS PUBLICAS
MANILA C-14,VEHICULO
SUCRE C-8,VIAS PUBLICAS
GUAYAQUIL C-10,VIAS PUBLICAS
PRADO C-10,VIAS PUBLICAS
ARANJUEZ  C-4,FRENTE A ALMACEN - VIA PUBLICA
LA CANDELARIA C-10,VIAS PUBLICAS
SAN JOAQUIN C-11,VIAS PUBLICAS
ALTAVISTA C-16,VIAS PUBLICAS
LORENA C-11,VIAS PUBLICAS
CALLE NUEVA C-10,ESTACION DEL METRO
CRISTO REY C-15,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
PROGRESO C-5,VIAS PUBLICAS
GALICIA,VIAS PUBLICAS
CIUDADELA 20 DE JULIO,VIAS PUBLICAS
CEVILLAR,VIAS PUBLICAS
LA PAZ,VIAS PUBLICAS
MEQUEJO,VIAS PUBLICAS
VILLA LINDA MURILLO,VIAS PUBLICAS
EL MIRADOR DEL BOSQUE,VIAS PUBLICAS
BARRIO CENTRO,ALMACENES
RESIDENCIAL SIRATA,VIAS PUBLICAS
BARRIO LA ESPERANZA,HOSPITALES
FATIMA,LOCAL COMERCIAL
ESTAMBUL,DENTRO DE LA VIVIENDA
CENTRO,ALMACENES
NOGALES,CASAS DE HABITACION
AVENIDA EL CIPRES,VIAS PUBLICAS
LA LIBERTAD,VIAS PUBLICAS
LA PAMBA,VIAS PUBLICAS
URB. LA CEIBA,FRENTE A RESIDENCIAS - VIA PUBLICA
SAN VICENTE,VIAS PUBLICAS
VALLES DE IBARRA E-11,VIAS PUBLICAS
MARIA PAZ E-8,VIAS PUBLICAS
SANTA CATALINA E-8,VIAS PUBLICAS
SANTA CATALINA E-8,VIAS PUBLICAS
CASTILLA LA NUEVA E-8,VIAS PUBLICAS
LA CASTELLANA E-12,LOCAL COMERCIAL
LA CASTELLANA E-12,RESTAURANTES
TAIRONA  E-8,VIAS PUBLICAS
VALLADOLID      E-8,VIAS PUBLICAS
LISBOA E-1,VIAS PUBLICAS
PASADENA ROYAL E-11,TRANSPORTE PUBLICO
URB. ELTEJAR E-16,VIAS PUBLICAS
URB. ELTEJAR E-16,INTERIOR VEHICULO SITP
SAN CRISTOBAL E-4,VIAS PUBLICAS
GRANADA SUR E-4,LOCAL COMERCIAL
EL RESTREPO E-15,SOBRE ANDEN - VIA PUBLICA
JOSE JOAQUIN VARGAS E-12,PARQUES
SAN ISIDRO E-4,VIAS PUBLICAS
CHAPINERO CENTRAL E-2,VIAS PUBLICAS
EL AMPARO E-8,TRANSPORTE PUBLICO
MANDALAY I ETAPA E-8,VIAS PUBLICAS
SAN VICTORINO E-3,VIAS PUBLICAS
BOYACA REAL E-10,VIAS PUBLICAS
BACHUE E-10,VIAS PUBLICAS
LA PERSEVERANCIA E-3,VIAS PUBLICAS
LAS MARGARITAS E-1,INTERIOR VEHICULO SERVICIO PUBLICO
CHAPINERO CENTRAL E-2,"SEDES SOCIALES, CLUBES O SIMILARES"
MODELO E-12,VIAS PUBLICAS
RESTREPO E-15,VIAS PUBLICAS
LA SOLEDAD E-13,VIAS PUBLICAS
URB. PINOS DE LOMBARDIA E-11,VIAS PUBLICAS
COUNTRY SUR E-18,ESTACION TRANSMILENIO COUNTRY SUR
COUNTRY SUR E-18,ESTACION TRANSMILENIO COUNTRY SUR
OLAYA E-18,VIAS PUBLICAS
COLINA LINDA E-11,ALMACENES
TEUSAQUILLO E-13,VIAS PUBLICAS
JUAN PABLO II E-19,VIAS PUBLICAS
LOS NARANJOS EL RETAZO E-7,"COLEGIOS, ESCUELAS"
SUCRE E-2,TRANSPORTE PUBLICO
SAN ANTONIO E-1,VIAS PUBLICAS
CIUDAD JARDIN SUR E-15,ESTACION TRANSMILENIO RESTREPO
BANDERAS E-8,VIAS PUBLICAS
SAN VICENTE FERRER E-6,VIAS PUBLICAS
SAN VICTORINO E-3,VIAS PUBLICAS
GALERIAS E-13,VIAS PUBLICAS
LAS TUNAS,VIAS PUBLICAS
LAS TUNAS,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
DIEGO DE OSPINA,VIAS PUBLICAS
EFRAIN ROJAS TRUJILLO,VIAS PUBLICAS
LA LIBERTAD,VIAS PUBLICAS
CENTRO,PELUQUERIA Y SIMILARES
LA TOMA,RESTAURANTES
LA LUCHA 19 DE ABRIL,VIAS PUBLICAS
CIUDADELA 29 DE JULIO,VIAS PUBLICAS
VILLA JULIA,VIAS PUBLICAS
CANAIMA,VIAS PUBLICAS
MARACOS,VIAS PUBLICAS
MARACOS,VIAS PUBLICAS
ESMERALDA,VIAS PUBLICAS
EL ROSARIO,VIAS PUBLICAS
AQUINE I,VIAS PUBLICAS
LUIS CARLOS GALAN,VIAS PUBLICAS
JULIAN BUCHELI,VIAS PUBLICAS
PANDIACO,VIAS PUBLICAS
BOMBONA,INTERIOR VEHICULO SERVICIO PUBLICO
PARANA,VIAS PUBLICAS
PUENTE DEL MORRO,VIAS PUBLICAS
BARRIO CARORA,VIAS PUBLICAS
BARRIO MONTEBELLO,VIAS PUBLICAS
SECTOR CENTRO COMERCIAL MOCAWA,VIAS PUBLICAS
PARQUE DE RECREACION,TRAMO DE VIA
CENTRO,VIAS PUBLICAS
LOS SAUCES,VIAS PUBLICAS
LA VILLA,LOCAL COMERCIAL
CENTRO (A) PEREIRA,VIAS PUBLICAS
COLOMBIA,VIAS PUBLICAS
PALMIRA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CENTRO,LOCAL COMERCIAL
LA CEIBA,VIAS PUBLICAS
GARCIA ROVIRA,VIAS PUBLICAS
LA CONCORDIA,VIAS PUBLICAS
VDA. LOS CAUCHOS,ESTACION METROLINEA
EL PESEBRE,CASAS DE HABITACION
CENTRO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CHACARITA,VIAS PUBLICAS
EL CORTIJO,VIAS PUBLICAS
URB LA TOSCANA,CASAS DE HABITACION
CENTRO,LOCAL COMERCIAL
EL TRIUNFO,CASAS DE HABITACION
CIUDADELA FLORALIA E6,BUS MEGABUS
JORGE ELIECER GAITAN E6,VIAS PUBLICAS
VALLADO E15,VIAS PUBLICAS
MELENDEZ E18,BUS MASIVO INTEGRAL DE OCCIDENTE M.I.O.
FLORA INDUSTRIAL E4,VIAS PUBLICAS
SILOE E20,FRENTE A RESIDENCIAS - VIA PUBLICA
SUCRE E9,VIAS PUBLICAS
URB. TEQUENDAMA E19,VIAS PUBLICAS
EL JORDAN E18,VIAS PUBLICAS
SUCRE E9,VIAS PUBLICAS
LAS CEIBAS E7,VIAS PUBLICAS
LOS COMUNEROS II E13,BUS MASIVO INTEGRAL DE OCCIDENTE M.I.O.
BENJAMIN HERRERA E8,VIAS PUBLICAS
PARCELACIONES PANCE E22,INTERIOR VEHICULO PARTICULAR
NUEVA FLORESTA E12,VIAS PUBLICAS
ALAMEDA,VIAS PUBLICAS
ROSALPI,VIAS PUBLICAS
SALENTO,CASAS DE HABITACION
LA PRADERA,VIAS PUBLICAS
SAN PIO,VIAS PUBLICAS
EL ROSARIO,VIAS PUBLICAS
SAN JOSE,VIAS PUBLICAS
SANTA MARIA DE LOS ANGELES C-14,VIAS PUBLICAS
ESTACION VILLA C-10,ESTACION DEL METRO
CALAZANS C-12,INTERIOR VEHICULO PARTICULAR
LA CANDELARIA C-10,VIAS PUBLICAS
SAN JAVIER 1 C-13,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
LA LOMA DE LOS BERNAL C-16,VIAS PUBLICAS
LA PALMA C-16,VIAS PUBLICAS
PEDREGAL C-6,VIAS PUBLICAS
TENCHE C-15,ESTACION DEL METRO
SAN BENITO C-10,VIAS PUBLICAS
DOCE DE OCTUBRE 2 C-6,CASAS DE HABITACION
LOS ANGELES C-10,VIAS PUBLICAS
BELEN C-16,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
VILLA FLORA C-7,VIAS PUBLICAS
LOS LAGOS,VIAS PUBLICAS
ALTO DE LAS FLORES,CENTRO COMERCIAL
EL PORVENIR,VIAS PUBLICAS
MONTECRISTO,CENTRO COMERCIAL
EL HIPODROMO,VIAS PUBLICAS
EL PARQUE,VIAS PUBLICAS
EL TUCAN,VIAS PUBLICAS
TERRANOVA I,VIAS PUBLICAS
SECTOR LAS ACACIAS,VIAS PUBLICAS
BARRIO EL BOSQUE,CASAS DE HABITACION
LOS ALPES,VIAS PUBLICAS
EL LAGUITO,VIAS PUBLICAS
SAN ANTONIO,VIAS PUBLICAS
PALERMO,VIAS PUBLICAS
SAN JOAQUIN,VIAS PUBLICAS
EL TIMY,CASAS DE HABITACION
LA ESMERALDA,VIAS PUBLICAS
URB. FUCHA,VIAS PUBLICAS
LOS CAMPOS,VIAS PUBLICAS
MANUELA BELTRAN,VIAS PUBLICAS
ESPERANZA,VIAS PUBLICAS
LAS MERCEDES,TRAMO DE VIA
VEREDA LAS MARCELITAS,FINCAS Y SIMILARES
EL CANHITO,VIAS PUBLICAS
BUENAVISTA,SUPERMERCADOS
EL CENTRO,VIAS PUBLICAS
JUAN XX I I I,VIAS PUBLICAS
LA JULIA,VIAS PUBLICAS
SAN JOSE,VIAS PUBLICAS
MONTEVERDE,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
EDMUNDO LÒPEZ,VIAS PUBLICAS
EDMUNDO LÒPEZ,VIAS PUBLICAS
LAGO GAITAN E-2,ESTACION TRANSMILENIO CALLE 76
QUINTA CAMACHO E-2,VIAS PUBLICAS
HACIENDA LOS MOLINOS E-18,VIAS PUBLICAS
SANTA LIBRADA E-5,FRENTE A RESIDENCIAS - VIA PUBLICA
CHAPINERO CENTRAL E-2,CAFETERIAS
FONTIBON CENTRO E-9,INTERIOR VEHICULO SERVICIO PUBLICO
ALOHA SUR E-8,VIAS PUBLICAS
CHICO NORTE II SECTOR E-1,VIAS PUBLICAS
LA ESTANCIA E-9,VIAS PUBLICAS
SAN JORGE E-18,VIAS PUBLICAS
SAN JORGE E-18,BANCOS
URB. INDUSTRIAL PENSILVANIA E-16,VIAS PUBLICAS
PINO ALTO E-11,VIAS PUBLICAS
PATIO BONITO I E-8,VIAS PUBLICAS
CHAPINERO CENTRAL E-2,VIAS PUBLICAS
CIUDAD JARDIN SUR E-15,VIAS PUBLICAS
MARIA PAZ E-8,VIAS PUBLICAS
URB. PEPE VALL SERRA E-11,ESTACION TRANSMILENIO PEPE SIERRA
LAS ORQUIDEAS E-1,VIAS PUBLICAS
LAS AGUAS E-3,VIAS PUBLICAS
LOS ANDES E-12,PARADERO DE BUSES
LAS CRUCES E-3,BUS TRANSMILENIO
TUNALITO E-6,VIAS PUBLICAS
ABRAHAM LINCON E-8,VIAS PUBLICAS
LAGO GAITAN E-2,LOCAL COMERCIAL
LISBOA E-1,VIAS PUBLICAS
POLO CLUB E-12,ESTACION TRANSMILENIO NQS-CALLE 75
URB. PONTEVEDRA I SECTOR E-11,VIAS PUBLICAS
URB. LA PUERTA DEL SOL E-11,VIAS PUBLICAS
MARTIRES E-14,ALMACENES
ANTIGUO COUNTRY E-2,ALMACENES
SAN MATEO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
ENTRERIOS,CASAS DE HABITACION
CARIBE,CASAS DE HABITACION
LOS ARRAYANES,VIAS PUBLICAS
ESTADIO DE FUTBOL,RODANDO SOBRE VIA - VIA PUBLICA
GRANJAS COMUNITARIAS,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
MARIA EUGENIA,VIAS PUBLICAS
VEREDA YARI,FINCAS Y SIMILARES
SANTA FE,VIAS PUBLICAS
VILLA SUAREZ,VIAS PUBLICAS
VILLA SUAREZ,VIAS PUBLICAS
CATUMARE,VIAS PUBLICAS
BARZAL BAJO,VIAS PUBLICAS
PARQUE BOLIVAR,CONSULTORIOS  ODONTOLOGICOS
EL BOSQUE,VIAS PUBLICAS
VILLA DOCENTE,VIAS PUBLICAS
CENTRO,FRENTE A RESIDENCIAS - VIA PUBLICA
SAN DIEGO NORTE,VIAS PUBLICAS
LAS CUADRAS,VIAS PUBLICAS
MORASURCO,VIAS PUBLICAS
BARRIO LA HERMITA,VIAS PUBLICAS
BARRIO GAITAN,DENTRO DE LA VIVIENDA
BARRIO SAN JOSE,VIAS PUBLICAS
BARRIO PATIO CENTRO,LOCAL COMERCIAL
VDA. VILLAGLORIA,VIAS PUBLICAS
SIMON BOLIVAR,VIAS PUBLICAS
CALIMA,VIAS PUBLICAS
SECTOR PORTAL DEL QUINDIO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
VDA.LA POPA,FINCAS Y SIMILARES
VDA.LA POPA,FINCAS Y SIMILARES
SECTOR COCONI,VIAS PUBLICAS
GALICIA ALTA,CASAS DE HABITACION
CENTRO (A) PEREIRA,VIAS PUBLICAS
TORCOROMA,VIAS PUBLICAS
VILLAROSA,VIAS PUBLICAS
ANTONIA SANTOS,VIAS PUBLICAS
CENTRO,RESTAURANTES
CENTRO,RESTAURANTES
MOLINOS BAJOS,VIAS PUBLICAS
PUERTO MADERO,VIAS PUBLICAS
URB. CATALUNHA,VIAS PUBLICAS
LAS MERCEDES,VIAS PUBLICAS
EL ROCIO,VIAS PUBLICAS
BELARCAZAR,VIAS PUBLICAS
PUEBLO NUEVO,LOCAL COMERCIAL
ALFONSO LOPEZ I E7,CASAS DE HABITACION
MANUELA BELTRAN E14,CASAS DE HABITACION
LAS ORQUIDEAS E14,VIAS PUBLICAS
EL INGENIO E17,SEMAFORO
SAN LUIS E6,VIAS PUBLICAS
LA HACIENDA E17,INTERIOR VEHICULO SERVICIO PUBLICO
EL CALVARIO E3,VIAS PUBLICAS
REPUBLICA ISRAEL E16,VIAS PUBLICAS
ALFONSO B. ARAGON E14,VIAS PUBLICAS
GUAYAQUIL E9,CASAS DE HABITACION
VILLA DEL SUR E11,VIAS PUBLICAS
JUNIN E9,VIAS PUBLICAS
CIUDAD CORDOBA E15,VIAS PUBLICAS
VIPASA E2,VIAS PUBLICAS
LILI E17,VIAS PUBLICAS
EL INGENIO E17,VIAS PUBLICAS
EL REMANSO E21,VIAS PUBLICAS
POPULAR E4,VIAS PUBLICAS
SAN PEDRO E3,ESTACION M.I.O.
CGTO LA BUITRERA E18,VIAS PUBLICAS
GUAYAQUIL E9,CASAS DE HABITACION
SAN ANTONIO,VIAS PUBLICAS
CIUDAD SUR E24,CASAS DE HABITACION
PORTAL DE JAMUNDI E24,VIAS PUBLICAS
LA INMACULADA,VIAS PUBLICAS
CIUDADELA DEL NORTE,ESCENARIOS DEPORTIVOS
MORAVIA  C-4,ESTACION DEL METRO
LAS CASITAS,VIAS PUBLICAS
SANTA MARIA # 1,INTERIOR VEHICULO PARTICULAR
CRISTO REY C-15,VIAS PUBLICAS
CUARTA BRIGADA C-11,VIAS PUBLICAS
SAN BENITO C-10,VIAS PUBLICAS
UINIVERSIDAD DE ANTIOQUIA  C-4,VIAS PUBLICAS
EL POBLADO C-14,HOSPITALES
LA AGUACATALA C-14,BANCOS
NUEVA VILLA DE ABURRA C-16,VIAS PUBLICAS
ESTADIO C-11,CANCHA DE FUTBOL
ROBLEDO C-7,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
BELEN C-16,PARQUES
LORENA C-11,PANADERIAS
CRISTO REY C-15,INTERIOR VEHICULO SERVICIO PUBLICO
PATIO BONITO C-14,VIAS PUBLICAS
BOMBONA 1 C-10,VIAS PUBLICAS
LA PINHUELA  C-4,VIAS PUBLICAS
LA COLINA C-15,"DROGUERIAS, FARMACIAS"
LA CANDELARIA C-10,VIAS PUBLICAS
AVENIDA GALAN HOYO,VIAS PUBLICAS
LA BODEGA,ALMACENES
LA BODEGA,ALMACENES
LA BODEGA,ALMACENES
LA CEIBA,VIAS PUBLICAS
SAN FELIPE,FRENTE A RESIDENCIAS - VIA PUBLICA
SILENCIO,VIAS PUBLICAS
VILLA MUVDI,VIAS PUBLICAS
VILLA MUVDI,VIAS PUBLICAS
BARRIO PASTRANA,VIAS PUBLICAS
BARRIO CENTRO,"BARES, CANTINAS Y SIMILARES"
BARRIO SANTA INES,VIAS PUBLICAS
CENTRO,ALMACENES
BARRIO MESOPOTAMIA,VIAS PUBLICAS
BARRIO CHIPRE,VIAS PUBLICAS
SAN ANTONIO,LOCAL COMERCIAL
ALTA SUIZA,VIAS PUBLICAS
ALTA SUIZA,VIAS PUBLICAS
CIUDADELA HABITACIONAL SIGLO XXI,LOCAL COMERCIAL
EL PRADO,OFICINAS
JUAN XXIII,VIAS PUBLICAS
LUIS HERNANDEZ VARGAS,VIAS PUBLICAS
LOS ALMENDROS,SOBRE ANDEN - VIA PUBLICA
BOLIVAR,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
VALENCIA,VIAS PUBLICAS
LAS DOS AGUAS,VIAS PUBLICAS
ANTONIO NARINHO,VIAS PUBLICAS
ICHAGUA,VIAS PUBLICAS
EL CARMEN,VIAS PUBLICAS
EL CENTRO,CASAS DE HABITACION
EL CENTRO,CASAS DE HABITACION
COLON,VIAS PUBLICAS
LA GRANJA,VIAS PUBLICAS
LA JULIA,VIAS PUBLICAS
LACHARME,VIAS PUBLICAS
EL CENTRO,CASAS DE HABITACION
EL POA E-11,VIAS PUBLICAS
ACACIAS SUR E-19,VIAS PUBLICAS
BONANZA E-10,VIAS PUBLICAS
CIUDAD SALITRE II E-13,VIAS PUBLICAS
BOSQUE DE LOS PINOS E-1,INTERIOR VEHICULO SITP
CENTRO E-3,VIAS PUBLICAS
TEUSAQUILLO E-13,VIAS PUBLICAS
ALTAMIRA E-4,VIAS PUBLICAS
URB. LA ASUNCION E-16,VIAS PUBLICAS
BARRIOS UNIDOS E-12,VIAS PUBLICAS
SANTA INES E-3,ESTACION TRANSMILENIO TERCER MILENIO
GUSTAVO RESTREPO E-18,VIAS PUBLICAS
LAS NIEVES E-3,SOBRE ANDEN - VIA PUBLICA
SAN VICTORINO E-3,VIAS PUBLICAS
CHAPINERO CENTRAL E-2,SOBRE ANDEN - VIA PUBLICA
SAN VICTORINO E-3,ESTACION TRANSMILENIO SAN VICTORINO
URB. VILLA ELISA E-11,VIAS PUBLICAS
SAN LUIS E-13,VIAS PUBLICAS
TEUSAQUILLO E-13,TRANSPORTE PUBLICO
LAS DOS AVENIDAS E-8,ESTACIONES DE SERVICIO
VILLA MARIA I E-11,PELUQUERIA Y SIMILARES
LA CANDELARIA E-3,VIAS PUBLICAS
RICAURTE E-14,VIAS PUBLICAS
LA CALLEJA E-1,VIAS PUBLICAS
PALESTINA E-7,VIAS PUBLICAS
LA CAPUCHINA E-3,TRANSPORTE PUBLICO
VENECIA E-6,VIAS PUBLICAS
GRAN COLOMBIANO E-8,VIAS PUBLICAS
AZUCENA SECTOR EL TRIANGULO E-7,VIAS PUBLICAS
SAN JOSE DE FONTIBON E-9,TRANSPORTE PUBLICO
GALERIAS E-13,"BARES, CANTINAS Y SIMILARES"
MARTIRES E-14,VIAS PUBLICAS
EL ENCANTO E-10,VIAS PUBLICAS
ANTIGUO COUNTRY E-2,VIAS PUBLICAS
LAS AGUAS E-3,VIAS PUBLICAS
MARLY E-2,VIAS PUBLICAS
URB. SAN PATRICIO E-1,VIAS PUBLICAS
MANDALAY I ETAPA E-8,BUS TRANSMILENIO
LA CABRERA E-2,VIAS PUBLICAS
CHICO I E-2,VIAS PUBLICAS
SAN VICTORINO E-3,VIAS PUBLICAS
URB. PONTEVEDRA I SECTOR E-11,VIAS PUBLICAS
MULTIFAMILIAR VILLA EMILIA E-8,VIAS PUBLICAS
VITELMA E-4,VIAS PUBLICAS
CHAPINERO CENTRAL E-2,BUS TRANSMILENIO
EL POA E-11,ESTACION TRANSMILENIO PORTAL DE SUBA
QUINDIO E-4,VIAS PUBLICAS
CENTRO ADMINISTRATIVO E-17,VIAS PUBLICAS
VILLAS DE GRANADA E-10,VIAS PUBLICAS
LA CABANHA E-9,VIAS PUBLICAS
SAN MIGUEL,VIAS PUBLICAS
CIUDAD VERDE,PARQUES
ALTOS DEL BOSQUE I,CENTRO COMERCIAL
NORTE,CASAS DE HABITACION
NORTE,CASAS DE HABITACION
NORTE,CASAS DE HABITACION
EL JARDIN,VIAS PUBLICAS
PINHON,VIAS PUBLICAS
URBANIZACION SANTA LUCIA,VIAS PUBLICAS
SANTA CRUZ,VIAS PUBLICAS
CORREGIMIENTO SEVILLA,VIAS PUBLICAS
SANTA INES,VIAS PUBLICAS
CAUDAL ORIENTAL,VIAS PUBLICAS
CAUDAL ORIENTAL,VIAS PUBLICAS
TORRES DE SAN JUAN,VIAS PUBLICAS
BRISAS DEL GUATIQUIA,VIAS PUBLICAS
AVENIDA PANAMERICANA,VIAS PUBLICAS
EL DORADO,VIAS PUBLICAS
LA ROSA,VIAS PUBLICAS
SAN IGNACIO,VIAS PUBLICAS
BARRIO CENTRO,CASAS DE APUESTAS
BARRIO EL GUAMO,VIAS PUBLICAS
VDA.ALTO DEL RIO,TRAMO DE VIA
ZONA CENTRO,APARTAMENTO
ZONA CENTRO,APARTAMENTO
CENTRAL,VIAS PUBLICAS
BYRON GAVIRIA,VIAS PUBLICAS
LA ESPERANZA,VIAS PUBLICAS
SECTOR PARQUE EL LAGO,VIAS PUBLICAS
ALFONSO LOPEZ,VIAS PUBLICAS
SECTOR INVICO,VIAS PUBLICAS
KENNEDY,VIAS PUBLICAS
LA FLORESTA,VIAS PUBLICAS
GAITAN,INTERIOR VEHICULO SERVICIO PUBLICO
LA AURORA,VIAS PUBLICAS
GIRARDOT,VIAS PUBLICAS
DIAMANTE II,ESTACION METROLINEA
MUTIS,VIAS PUBLICAS
NUEVO SOTOMAYOR,VIAS PUBLICAS
BELENCITO,VIAS PUBLICAS
CIUDADELA NUEVO GIRON,VIAS PUBLICAS
CABECERA DEL LLANO P/TA,VIAS PUBLICAS
SANTA ANA,RIVERAS
LIBERTADOR,CASAS DE HABITACION
SANTA HELENA,VIAS PUBLICAS
SANTA HELENA,VIAS PUBLICAS
MIROLINDO,LOCAL COMERCIAL
CALLE PRIMERA,VIAS PUBLICAS
CENTRO,LOCAL COMERCIAL
CENTRO,LOCAL COMERCIAL
EL RETIRO E15,VIAS PUBLICAS
SANTA ELENA E10,VIAS PUBLICAS
ALFEREZ REAL E18,VIAS PUBLICAS
SILOE E20,VIAS PUBLICAS
SAN JOAQUIN E17,CENTRO COMERCIAL
PAMPA LINDA E19,VIAS PUBLICAS
PRIMERO DE MAYO E17,VIAS PUBLICAS
LILI E17,VIAS PUBLICAS
CALIMA E4,CASAS DE HABITACION
EL CEDRO E19,VIAS PUBLICAS
SAN NICOLAS E3,VIAS PUBLICAS
URB. TEQUENDAMA E19,VIAS PUBLICAS
LA MERCED E3,VIAS PUBLICAS
CANEY E17,VIAS PUBLICAS
TERRON COLORADO E1,VIAS PUBLICAS
CGTO HORMIGUERO E22,VIAS PUBLICAS
MANUELA BELTRAN E14,VIAS PUBLICAS
